,Value,CountryName,CountryCode,Date,EconomicSupportIndex,population,Continent
70,-0.146602763,Belgium,BEL,2020-10-01,87.77173913043478,11500000,Europe
71,-1.740358281,Israel,ISR,2020-01-01,11.11111111111111,8450000,Asia
72,-8.48422744,Israel,ISR,2020-04-01,100.0,8450000,Asia
73,9.068624087,Israel,ISR,2020-07-01,100.0,8450000,Asia
74,1.540129135,Israel,ISR,2020-10-01,77.71739130434783,8450000,Asia
75,0.09805435,Turkey,TUR,2020-01-01,0.0,81900000,Asia
76,-10.976011083,Turkey,TUR,2020-04-01,65.24725274725274,81900000,Asia
77,15.937416889000001,Turkey,TUR,2020-07-01,87.5,81900000,Asia
78,1.674143832,Turkey,TUR,2020-10-01,87.5,81900000,Asia
79,1.0592700000000002,India,IND,2020-01-01,20.32967032967033,1350000000,Asia
80,-25.85794,India,IND,2020-04-01,75.0,1350000000,Asia
81,23.72478,India,IND,2020-07-01,65.21739130434783,1350000000,Asia
82,7.94429,India,IND,2020-10-01,50.0,1350000000,Asia
83,-2.314114922,Latvia,LVA,2020-01-01,14.56043956043956,1930000,Europe
84,-6.973003112000001,Latvia,LVA,2020-04-01,68.13186813186813,1930000,Europe
85,6.882230777999999,Latvia,LVA,2020-07-01,50.0,1930000,Europe
86,1.075542315,Latvia,LVA,2020-10-01,77.17391304347827,1930000,Europe
87,-3.149296314,Czech Republic,CZE,2020-01-01,7.6923076923076925,10600000,Europe
88,-8.691477656,Czech Republic,CZE,2020-04-01,90.93406593406593,10600000,Europe
89,7.106331882,Czech Republic,CZE,2020-07-01,62.5,10600000,Europe
90,0.5904924029999999,Czech Republic,CZE,2020-10-01,62.5,10600000,Europe
91,-0.261036528,Poland,POL,2020-01-01,3.8461538461538463,38100000,Europe
92,-9.000663935,Poland,POL,2020-04-01,37.5,38100000,Europe
93,7.87821821,Poland,POL,2020-07-01,42.79891304347826,38100000,Europe
94,-0.6707347920000001,Poland,POL,2020-10-01,75.0,38100000,Europe
95,-1.995362523,Germany,DEU,2020-01-01,6.593406593406593,82300000,Europe
96,-9.707251417,Germany,DEU,2020-04-01,62.5,82300000,Europe
97,8.511985604,Germany,DEU,2020-07-01,37.5,82300000,Europe
98,0.34062844700000006,Germany,DEU,2020-10-01,36.41304347826087,82300000,Europe
99,-0.7180653920000001,Indonesia,IDN,2020-01-01,0.0,267000000,Asia
